[1],[2],Name,alternative Namen,Staat(en),Fläche [km²],Volu­men [km³],Tiefe [m],Tiefe [m],Anmerkungen / Fluss
147,N66,Vesijärvi,,Finnland,108,065,40,61,
148,O36,Vuoksa,"Вуокса, Käkisalmenselkä",Russland,108,,,,Vuoksi
149,,Wyschnewolozkoje,Вышневолоцкое водохранилище,Russland,108,,,,Shlina (Шлина)
150,N67,Lower Lough Erne,Loch Éirne,"Vereinigtes Königreich, Irland",105,126,155,12,
151,N68,Lough Ree,Loch Rí,Irland,105,065,35,62,
152,N69,Ontojärvi–Nurmesjärvi,,Finnland,105,060,29,58,
153,O37,Mamry,Mauersee,Polen,104,101,438,98,
154,N70,Kolima,,Finnland,101,087,663,86,
155,N71,Tunnsjøen,Dåtnejaevrie,Norwegen,100,868,220,87,
,,Fryken,,Schweden,100,,,,"3 miteinander verbundene Seen: Övre Fryken 41,5 km², Mellan-Fryken 46,7 km² und Nedre Fryken 12,5 km²"
[1],[2],Name,alternative Namen,Staat(en),Fläche (km²),Volumen (km³),max.,mittl.,Anmerkungen
[1],[2],Name,alternative Namen,Staat(en),Fläche (km²),Volumen (km³),Tiefe (m),Tiefe (m),Anmerkungen
